"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","73","4460.7667","41","28","4","33","86","0.589","4708","4457","51.37","3461","3280","51.34","2216","2117","51.14","237","251","48.57","255.12","263.81","49.16","2264","2330","49.28","981","1019","49.05","113","117","49.13","19.38","81.43","10.69","88.14","0.988"
"2","Boston Bruins","74","4508.45","42","24","8","38","92","0.622","4329","4613","48.41","3153","3382","48.25","2027","2217","47.76","246","227","52.01","233.47","271.65","46.22","2046","2270","47.41","860","1034","45.41","109","107","50.46","20.64","83.51","12.14","89.76","1.019"
"3","Buffalo Sabres","74","4483.0333","45","21","8","40","98","0.662","4256","4481","48.71","3195","3308","49.13","2079","2175","48.87","254","218","53.81","243.39","250.63","49.27","2031","2131","48.80","896","932","49.02","126","109","53.62","22.62","82.16","12.22","89.98","1.022"
"4","Carolina Hurricanes","73","4450.6833","46","21","6","41","98","0.671","5176","3502","59.65","3747","2633","58.73","2374","1754","57.51","253","213","54.29","277.71","214.05","56.47","2514","1856","57.53","1043","846","55.21","111","110","50.23","17.00","79.48","10.66","87.86","0.985"
"5","Columbus Blue Jackets","74","4517.3833","38","24","12","32","88","0.595","4483","4531","49.73","3249","3316","49.49","2186","2151","50.40","231","224","50.77","240.12","242.99","49.70","2172","2152","50.23","873","935","48.29","101","93","52.06","18.77","84.60","10.57","89.59","1.002"
"6","Calgary Flames","73","4431.4667","31","34","8","27","70","0.479","4341","4391","49.71","3087","3212","49.01","2085","2147","49.27","185","222","45.45","218.52","240.69","47.59","1994","2233","47.17","857","952","47.37","91","109","45.50","16.79","81.98","8.87","89.66","0.985"
"7","Chicago Blackhawks","74","4507.5333","27","34","13","24","67","0.453","3777","4457","45.87","2827","3423","45.23","1817","2251","44.67","189","239","44.16","195.46","262.67","42.66","1829","2321","44.07","748","1082","40.87","101","122","45.29","21.67","82.89","10.40","89.38","0.998"
"8","Colorado Avalanche","72","4378.4833","48","14","10","45","106","0.736","5006","3934","56.00","3603","2906","55.35","2422","1878","56.33","265","177","59.95","268.48","211.51","55.93","2438","1865","56.66","961","814","54.14","116","86","57.43","18.74","83.04","10.94","90.58","1.015"
"9","Dallas Stars","74","4511.5167","44","18","12","39","100","0.676","3836","4148","48.05","2794","2957","48.58","1897","1953","49.27","247","199","55.38","243.27","223.33","52.14","2080","1988","51.13","942","842","52.80","136","90","60.18","21.55","83.36","13.02","89.81","1.028"
"10","Detroit Red Wings","73","4433.4667","39","26","8","37","86","0.589","4303","4445","49.19","3192","3139","50.42","2072","2023","50.60","213","215","49.77","248.71","228.28","52.14","2083","2171","48.97","913","853","51.70","103","102","50.24","17.43","80.19","10.28","89.37","0.997"
"11","Edmonton Oilers","74","4484.9333","37","28","9","37","83","0.561","4318","4267","50.30","3239","3101","51.09","2198","1998","52.38","258","248","50.99","256.29","237.86","51.86","2207","2241","49.62","972","900","51.92","120","124","49.18","19.20","77.37","11.74","87.59","0.993"
"12","Florida Panthers","73","4427.7167","35","35","3","30","73","0.500","4502","3965","53.17","3267","2996","52.16","2064","1956","51.34","211","243","46.48","251.82","239.58","51.25","2206","1893","53.82","983","875","52.91","110","129","46.03","18.49","76.92","10.22","87.58","0.978"
"13","Los Angeles Kings","73","4470.4333","29","26","18","25","76","0.521","4543","4174","52.12","3212","3027","51.48","2031","1987","50.55","191","214","47.16","235.8","218.41","51.91","2127","2007","51.45","928","858","51.96","96","87","52.46","16.75","83.74","9.40","89.23","0.986"
"14","Minnesota Wild","74","4529.8333","41","21","12","37","94","0.635","4475","4608","49.27","3330","3338","49.94","2175","2192","49.81","238","211","53.01","255.44","234.96","52.09","2225","2229","49.96","942","907","50.95","113","105","51.83","19.32","81.90","10.94","90.37","1.013"
"15","Montreal Canadiens","73","4457.2167","42","21","10","40","94","0.644","4111","4426","48.16","3029","3107","49.36","1934","2020","48.91","256","228","52.89","245.41","257.5","48.80","2024","2192","48.01","825","973","45.88","101","118","46.12","19.57","79.90","13.24","88.71","1.019"
"16","New Jersey Devils","73","4425.8333","38","33","2","34","78","0.534","4501","4169","51.91","3273","3032","51.91","2186","2010","52.10","200","223","47.28","243.88","231.82","51.27","2198","2074","51.45","920","903","50.47","94","116","44.76","16.04","79.51","9.15","88.91","0.981"
"17","Nashville Predators","74","4498.9167","34","31","9","30","77","0.520","4340","4215","50.73","3147","3243","49.25","2059","2185","48.52","216","245","46.85","239.16","245.26","49.37","2085","2086","49.99","916","923","49.81","106","130","44.92","18.43","79.10","10.49","88.79","0.993"
"18","New York Islanders","74","4508.1","42","27","5","38","89","0.601","4330","4409","49.55","3200","3204","49.97","2094","2068","50.31","212","204","50.96","239.34","266.51","47.31","2128","2244","48.67","875","1035","45.81","93","90","50.82","16.43","86.32","10.12","90.14","1.003"
"19","New York Rangers","74","4495.1833","30","35","9","27","69","0.466","4191","4459","48.45","2992","3278","47.72","1872","2164","46.38","208","231","47.38","222.76","249.72","47.15","2038","2154","48.62","875","874","50.03","95","112","45.89","18.55","80.35","11.11","89.33","1.004"
"20","Ottawa Senators","73","4423.65","38","25","10","35","86","0.589","4367","3795","53.50","3221","2715","54.26","2115","1772","54.41","241","223","51.94","244.95","207.47","54.14","2229","1791","55.45","952","759","55.64","120","108","52.63","19.45","77.69","11.39","87.42","0.988"
"21","Philadelphia Flyers","73","4479.9","37","24","12","28","86","0.589","3886","4170","48.24","2867","2992","48.93","1861","1877","49.79","207","215","49.05","228.89","217.61","51.26","2003","2035","49.60","895","786","53.24","84","86","49.41","15.53","81.18","11.12","88.55","0.997"
"22","Pittsburgh Penguins","73","4463.5333","36","21","16","33","88","0.603","4374","4367","50.04","3231","3172","50.46","2111","2000","51.35","247","224","52.44","253.84","238.49","51.56","2274","2202","50.80","998","922","51.98","112","98","53.33","17.61","82.28","11.70","88.80","1.005"
"23","San Jose Sharks","71","4313.75","33","31","7","31","73","0.514","3810","4320","46.86","2725","3159","46.31","1849","2117","46.62","213","252","45.81","212.2","244.39","46.48","1991","2117","48.47","863","948","47.65","117","114","50.65","20.21","81.28","11.52","88.10","0.996"
"24","Seattle Kraken","72","4385.9833","32","29","11","31","75","0.521","3818","4596","45.38","2824","3315","46.00","1834","2113","46.47","205","218","48.46","208.25","243.86","46.06","1775","2105","45.75","740","909","44.88","99","101","49.50","21.29","80.87","11.18","89.68","1.009"
"25","St Louis Blues","72","4374.9333","31","30","11","30","73","0.507","3744","4110","47.67","2712","3024","47.28","1816","1979","47.85","190","223","46.00","198.11","218.34","47.57","1858","1955","48.73","752","816","47.96","79","112","41.36","17.06","78.00","10.46","88.73","0.992"
"26","Tampa Bay Lightning","73","4430.5167","46","21","6","42","98","0.671","4410","3896","53.09","3220","2915","52.49","2063","1966","51.20","263","201","56.68","262.57","219.03","54.52","2230","1886","54.18","950","799","54.32","131","92","58.74","22.78","82.96","12.75","89.78","1.025"
"27","Toronto Maple Leafs","74","4509.4667","31","30","13","30","75","0.507","3935","4877","44.66","2965","3614","45.07","1987","2406","45.23","229","256","47.22","224.61","262.14","46.14","1996","2417","45.23","872","1012","46.28","118","115","50.64","19.97","82.14","11.52","89.36","1.009"
"28","Utah Mammoth","74","4466.5667","38","30","6","38","82","0.554","4399","4109","51.70","3162","2986","51.43","2039","1933","51.33","235","212","52.57","239.51","237.21","50.24","2045","2035","50.12","920","892","50.77","107","103","50.95","18.23","80.78","11.53","89.03","1.006"
"29","Vancouver Canucks","72","4379.3833","21","43","8","16","50","0.347","4048","4370","48.09","2994","3284","47.69","1880","2130","46.88","180","271","39.91","220.91","255.82","46.34","1983","2242","46.93","887","988","47.31","95","131","42.04","17.30","79.53","9.57","87.28","0.969"
"30","Vegas Golden Knights","74","4529.35","32","26","16","31","80","0.541","4403","4082","51.89","3204","2900","52.49","2114","1799","54.03","231","227","50.44","243.35","209.01","53.79","2237","1991","52.91","1006","765","56.80","127","112","53.14","19.78","75.11","10.93","87.38","0.983"
"31","Winnipeg Jets","73","4435.8","31","30","12","29","74","0.507","4014","4255","48.54","2979","3134","48.73","1917","2040","48.45","207","221","48.36","229.14","240.04","48.84","2004","2093","48.91","880","918","48.94","109","106","50.70","21.33","81.00","10.80","89.17","1.000"
"32","Washington Capitals","74","4498.2167","37","28","9","35","83","0.561","4385","4521","49.24","3241","3250","49.93","2099","2095","50.05","230","213","51.92","260.92","256.78","50.40","2184","2192","49.91","991","945","51.19","108","107","50.23","17.25","81.52","10.96","89.83","1.008"
